Store ID ,Store_Area,Items_Available,Daily_Customer_Count,Store_Sales
127,1871,2241,500,61150
128,1718,2051,750,49210
129,1365,1636,980,79950
130,1368,1654,530,68740
131,1342,1595,910,57480
132,1076,1270,620,72630
133,1396,1672,1170,50070
134,1713,2071,900,40490
135,1370,1638,980,51850
136,1667,1993,740,42840
137,1638,1972,810,60940
138,1581,1905,810,62280
139,1795,2187,300,76530
140,1179,1412,790,85130
141,1978,2374,800,48590
142,1688,2042,760,73080
143,1214,1456,530,48950
144,1504,1805,540,48560
145,1498,1770,620,59380
146,1462,1762,1010,51190
147,1442,1750,130,58920
148,1250,1486,730,50360
149,1229,1480,830,38070
150,1936,2300,1060,49170
151,1369,1629,770,39740
152,1662,1986,70,63730
153,1548,1855,670,85330
154,1649,1963,490,27410
155,1393,1663,670,37320
156,1450,1734,380,71120
157,1613,1921,1200,72800
158,1408,1696,350,34410
159,775,932,1090,42530
160,1275,1534,1230,54300
161,1740,2078,680,50780
162,1372,1657,580,45020
163,1414,1723,680,69600
164,2044,2474,340,80340
165,1823,2176,700,37810
166,955,1133,580,46140
167,1465,1763,680,99570
168,1331,1606,630,38650
169,1232,1487,860,49800
170,1481,1765,490,69910
171,1343,1599,870,44910
172,1539,1837,990,78470
173,1007,1207,670,47460
174,1762,2145,490,33460
175,1527,1832,580,44090
176,1356,1619,700,42620
177,1536,1848,670,69450
178,1605,1902,390,73120
179,1704,2032,590,48300
180,1626,1941,1350,58090
181,1612,1939,840,74250
182,1174,1396,1100,40930
183,1923,2339,950,70930
184,1702,2053,950,64670
185,1398,1692,650,77420
186,1437,1717,230,32330
187,1524,1796,1060,41080
188,1660,1985,1180,42860
189,1302,1569,710,68450
190,1666,2000,480,39730
191,1391,1649,810,83750
192,1778,2148,1140,69940
193,1462,1770,1070,67710
194,1751,2115,790,67360
195,1652,1982,690,52460
196,1841,2215,610,88760
197,1496,1791,1240,67030
198,1504,1827,840,78230
199,1524,1808,460,62270
200,1148,1371,940,49760
201,1468,1744,590,73660
202,1310,1558,890,72320
203,1321,1579,770,68890
204,992,1192,900,34180
205,1540,1857,1020,58260
206,1807,2149,910,38120
207,1526,1853,660,49070
208,1406,1677,480,61660
209,1703,2055,1080,37830
210,1575,1872,690,52270
211,1309,1572,510,52280
212,1488,1807,1030,70810
213,1658,1988,370,71530
214,1863,2245,640,77260
215,1458,1725,750,75550
216,1604,1909,370,33730
217,1575,1899,840,66270
218,1525,1829,840,55820
219,1451,1737,890,68430
220,1390,1687,620,73990
221,1442,1742,310,62800
222,1620,1922,550,33740
223,1251,1527,380,63830
224,1318,1606,1200,24410
225,1647,1962,800,70020
226,1829,2175,870,92240
227,1852,2227,1220,68230
228,1699,2053,1080,81870
229,1325,1595,540,73860
230,1350,1634,880,77120
231,1347,1628,120,72350
232,1397,1661,1410,49160
233,1245,1499,570,45650
234,1366,1649,940,52780
235,1378,1658,760,90960
236,1767,2110,1200,64950
237,1184,1434,670,47230
238,1257,1505,950,83250
239,1863,2247,480,51950
240,1881,2244,920,66030
241,1329,1609,1150,68590
242,1539,1848,750,47140
243,1557,1861,370,69940
244,2007,2397,610,65890
245,1185,1418,1150,89310
246,1657,2003,1070,58540
247,1294,1539,790,78130
248,1296,1559,1070,92300
249,1733,2097,730,56170
250,1641,1976,620,46050
251,1373,1648,530,43390
252,1550,1845,700,61750
253,1583,1907,680,21830
254,1428,1719,1060,39800
255,1604,1925,670,54370
256,1439,1735,400,62470
257,1648,2003,910,82930
258,1025,1231,760,63720
259,2001,2394,540,79180
260,1145,1370,350,38210
261,1174,1426,980,25950
262,913,1106,860,56610
263,1199,1433,1020,73710
264,1875,2254,1120,70400
265,1153,1397,1020,50440
266,1240,1492,940,66840
267,1381,1660,970,50170
268,1701,2030,830,60140
269,1206,1456,920,37130
270,1476,1777,660,42890
271,1189,1439,780,26220
272,1837,2220,340,50840
273,1319,1571,1190,25630
274,1617,1901,490,60770
275,1631,1967,1090,69600
276,1517,1805,1040,41740
277,1764,2109,1210,50130
278,1572,1869,1030,21750
279,1855,2197,1170,80490
280,1327,1571,730,34020
281,1270,1515,720,60240
282,1734,2073,500,39460
283,1533,1848,1070,56440
284,1390,1646,800,46840
285,1856,2216,1020,64820
286,1000,1215,1070,52520
287,1313,1586,420,45940
288,1494,1799,510,38970
289,1386,1674,1210,58610
290,1979,2364,660,30810
291,1057,1264,360,47730
292,902,1093,1210,64640
293,1347,1622,560,44860
294,1314,1576,360,55660
295,1513,1803,970,57530
296,1305,1548,480,75200
297,1180,1436,690,37330
298,1142,1352,710,35280
299,1471,1768,780,70610
300,1075,1288,630,49720
301,1578,1885,220,68850
302,1585,1916,1110,50740
303,1391,1648,720,77070
304,1577,1892,560,74730
305,1092,1314,600,76530
306,1375,1681,440,68900
307,1523,1813,520,44960
308,1373,1654,410,41490
309,1550,1871,590,74320
310,1614,1946,740,73800
311,1566,1889,610,56400
312,2019,2396,540,71570
313,1494,1806,1450,43640
314,1659,2008,620,35120
315,1766,2131,340,58670
316,1293,1554,970,75800
317,1375,1659,1080,76640
318,1236,1484,560,31890
319,1332,1586,630,61670
320,1513,1825,980,75950
321,1208,1459,930,41490
322,1190,1429,470,66170
323,1448,1734,680,37980
324,1771,2147,430,62710
325,1365,1645,830,60470
326,1510,1810,950,35230
327,1458,1736,870,48550
328,1808,2157,730,56810
329,1615,1954,760,41080
330,1640,1948,960,51270
331,1060,1273,860,57500
332,1633,1968,330,81470
333,1222,1473,630,49570
334,1619,1957,1280,45580
335,1624,1973,1440,44660
336,1887,2278,570,76240
337,1320,1583,540,43720
338,1450,1750,480,46700
339,1455,1764,390,84690
340,966,1172,900,85470
341,1922,2290,290,80410
342,1678,1999,740,46650
343,1638,1952,690,81840
344,1145,1375,950,63590
345,2004,2390,930,50130
346,1954,2378,810,45820
347,1577,1879,760,86710
348,1766,2138,580,49980
349,1362,1634,770,82940
350,1886,2228,1530,40350
351,1291,1546,420,93950
352,1584,1897,1210,47310
353,1397,1686,850,21300
354,1445,1709,1340,62180
355,1433,1707,1160,61460
356,1269,1511,500,54360
357,1798,2134,820,72050
358,1514,1822,670,48090
359,1015,1216,460,27310
360,1495,1799,950,57160
361,1759,2095,980,34190
362,1219,1468,850,35600
363,1571,1877,580,54670
364,1404,1670,620,76730
365,1124,1369,650,63540
366,1514,1837,1130,36690
367,1207,1476,720,87370
368,1484,1774,940,59800
369,1398,1678,920,48030
370,1769,2112,660,96650
371,1111,1322,610,65500
372,1078,1305,1190,55530
373,1876,2254,1340,21650
374,1909,2306,820,31940
375,1940,2343,1130,84690
376,1391,1683,890,68390
377,1496,1774,810,75490
378,1412,1699,680,39200
379,1121,1345,320,85670
380,1691,2026,700,60530
381,1599,1946,940,78090
382,1208,1467,910,50720
383,1454,1737,870,23090
384,1555,1881,1260,91360
385,1554,1852,440,48120
386,1491,1800,980,75620
387,1415,1697,1200,39420
388,1487,1801,890,51130
389,1339,1589,1050,33890
390,1320,1562,610,87170
391,1509,1799,960,38600
392,1406,1680,860,60980
393,1264,1502,800,79410
394,1905,2280,1060,82350
395,1209,1464,600,36740
396,1546,1829,380,27720
397,1689,2044,1140,32260
398,1153,1381,730,53270
399,2063,2493,810,51480
400,1848,2254,1000,59970
401,1718,2056,1220,83600
402,1480,1773,360,63020
403,1439,1724,900,50920
404,1576,1896,750,56450
405,1948,2374,930,89540
406,1613,1893,1180,46030
407,896,1059,870,75110
408,1625,1943,680,74520
409,1303,1587,1310,102310
410,1340,1605,1000,53400
411,1410,1704,1130,59760
412,1432,1719,990,49540
413,1891,2280,360,51560
414,1322,1583,720,49510
415,1378,1670,950,58610
416,1462,1732,840,68260
417,1440,1733,1120,65310
418,1421,1724,920,52090
419,1280,1530,1240,43860
420,1431,1710,840,74170
421,1161,1404,430,58380
422,1175,1405,810,91200
423,1395,1662,920,90940
424,1443,1755,880,49330
425,1247,1523,1350,53500
426,1788,2133,1000,54590
427,1138,1375,1220,57450
428,1709,2042,430,33240
429,1777,2145,520,80790
430,1612,1918,580,61000
431,1618,1943,460,47620
432,1311,1571,470,72090
433,1365,1638,680,102920
434,1249,1503,950,61970
435,1373,1635,840,61040
436,1536,1836,990,52060
437,1744,2101,520,69570
438,1513,1820,520,66020
439,1297,1561,1070,40000
440,1908,2304,990,79500
441,1721,2076,710,76300
442,1243,1491,430,69030
443,1472,1766,1290,57140
444,1307,1570,1080,41710
445,1628,1959,890,71480
446,1556,1869,1000,33010
447,1179,1428,1290,74570
448,1768,2123,860,49590
449,1378,1656,1010,73170
450,1685,2015,1160,79220
451,1474,1759,880,75880
452,1794,2137,670,67610
453,1086,1291,930,69090
454,1808,2154,990,35220
455,1501,1790,450,53940
456,1353,1598,690,56660
457,1455,1757,650,67520
458,1165,1411,1020,38620
459,1332,1610,880,38890
460,1396,1668,760,79270
461,1513,1821,690,42880
462,1618,1940,630,44240
463,1845,2233,370,43190
464,1172,1411,460,74550
465,1436,1737,770,57090
466,1738,2065,750,56480
467,2229,2667,660,87410
468,1490,1783,730,81370
469,1060,1279,670,97360
470,2015,2436,680,77960
471,1611,1919,960,71240
472,1187,1417,1230,58940
473,1430,1690,800,78950
474,1543,1840,450,36380
475,1836,2195,940,45160
476,1463,1764,1060,69050
477,1213,1462,560,56830
478,1244,1480,860,93530
479,1745,2108,730,46920
480,933,1121,940,55990
481,1764,2132,920,40840
482,1675,2002,1050,64990
483,1688,2046,380,53550
484,1842,2204,930,51320
485,1316,1597,980,36560
486,1440,1719,580,66050
487,1760,2111,680,52400
488,1323,1571,850,27970
489,1230,1466,730,67100
490,1540,1838,570,43710
491,1167,1388,620,38600
492,1429,1695,890,53890
493,1491,1770,800,52610
494,1313,1574,920,43130
495,1609,1943,920,40300
496,1109,1342,760,49750
497,1207,1440,500,43840
498,902,1087,680,56820
499,1191,1422,770,36350
